Opioid Data Dashboard Indicator,Data Year,Group,Characteristics,Rate Rate (95% CI),Data Source
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2017,Total,New York State,9.3,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2017,Total,New York State,9.3,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group,18 - 24 years,1.7,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group,18 - 24 years,1.7,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group,25 - 34 years,4.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group,25 - 34 years,4.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group,35 - 44 years,7.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group,35 - 44 years,7.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group,45 - 54 years,9.4,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group,45 - 54 years,9.4,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group,55 - 64 years,10.7,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group,55 - 64 years,10.7,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group,65+ years,11.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group,65+ years,11.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group by Sex,Female & 18 - 24 years,1.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group by Sex,Female & 18 - 24 years,1.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group by Sex,Female & 25 - 34 years,4.4,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group by Sex,Female & 25 - 34 years,4.4,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group by Sex,Female & 35 - 44 years,7.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group by Sex,Female & 35 - 44 years,7.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group by Sex,Female & 45 - 54 years,10.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group by Sex,Female & 45 - 54 years,10.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group by Sex,Female & 55 - 64 years,11.7,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group by Sex,Female & 55 - 64 years,11.7,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group by Sex,Female & 65+ years,12.4,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group by Sex,Female & 65+ years,12.4,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group by Sex,Male & 18 - 24 years,1.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group by Sex,Male & 18 - 24 years,1.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group by Sex,Male & 25 - 34 years,3.7,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group by Sex,Male & 25 - 34 years,3.7,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group by Sex,Male & 35 - 44 years,6,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group by Sex,Male & 35 - 44 years,6,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group by Sex,Male & 45 - 54 years,7.9,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group by Sex,Male & 45 - 54 years,7.9,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group by Sex,Male & 55 - 64 years,9.3,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group by Sex,Male & 55 - 64 years,9.3,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group by Sex,Male & 65+ years,10.2,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Age Group by Sex,Male & 65+ years,10.2,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Region,NYS Excl NYC,9.6,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Region,NYS Excl NYC,9.6,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Region,New York City,6.9,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Region,New York City,6.9,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Sex,Female,9.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Sex,Female,9.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Sex,Male,7.6,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Sex,Male,7.6,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Total,New York State,8.7,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2018,Total,New York State,8.7,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group,18 - 24 years,1.6,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group,18 - 24 years,1.6,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group,25 - 34 years,3.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group,25 - 34 years,3.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group,35 - 44 years,6.6,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group,35 - 44 years,6.6,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group,45 - 54 years,8.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group,45 - 54 years,8.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group,55 - 64 years,10,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group,55 - 64 years,10,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group,65+ years,11.2,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group,65+ years,11.2,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group,< 18 years,1.6,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group,< 18 years,1.6,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Female & 18 - 24 years,1.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Female & 18 - 24 years,1.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Female & 25 - 34 years,4.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Female & 25 - 34 years,4.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Female & 35 - 44 years,7.3,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Female & 35 - 44 years,7.3,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Female & 45 - 54 years,9.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Female & 45 - 54 years,9.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Female & 55 - 64 years,11,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Female & 55 - 64 years,11,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Female & 65+ years,12,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Female & 65+ years,12,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Female & < 18 years,1.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Female & < 18 years,1.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Male & 18 - 24 years,1.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Male & 18 - 24 years,1.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Male & 25 - 34 years,3.3,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Male & 25 - 34 years,3.3,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Male & 35 - 44 years,5.6,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Male & 35 - 44 years,5.6,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Male & 45 - 54 years,7.4,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Male & 45 - 54 years,7.4,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Male & 55 - 64 years,8.6,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Male & 55 - 64 years,8.6,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Male & 65+ years,10,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Male & 65+ years,10,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Male & < 18 years,1.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Age Group by Sex,Male & < 18 years,1.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Region,NYS Excl NYC,9.2,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Region,NYS Excl NYC,9.2,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Region,New York City,6.7,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Region,New York City,6.7,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Sex,Female,9.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Sex,Female,9.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Sex,Male,7.3,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Sex,Male,7.3,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Total,New York State,8.3,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2019,Total,New York State,8.3,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group,18 - 24 years,1.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group,18 - 24 years,1.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group,25 - 34 years,3.7,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group,25 - 34 years,3.7,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group,35 - 44 years,6.4,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group,35 - 44 years,6.4,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group,45 - 54 years,8.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group,45 - 54 years,8.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group,55 - 64 years,9.9,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group,55 - 64 years,9.9,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group,65+ years,11.6,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group,65+ years,11.6,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group,< 18 years,1.7,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group,< 18 years,1.7,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Female & 18 - 24 years,2,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Female & 18 - 24 years,2,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Female & 25 - 34 years,4.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Female & 25 - 34 years,4.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Female & 35 - 44 years,7.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Female & 35 - 44 years,7.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Female & 45 - 54 years,9.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Female & 45 - 54 years,9.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Female & 55 - 64 years,11,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Female & 55 - 64 years,11,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Female & 65+ years,12.3,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Female & 65+ years,12.3,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Female & < 18 years,2,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Female & < 18 years,2,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Male & 18 - 24 years,1.4,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Male & 18 - 24 years,1.4,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Male & 25 - 34 years,3.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Male & 25 - 34 years,3.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Male & 35 - 44 years,5.3,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Male & 35 - 44 years,5.3,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Male & 45 - 54 years,7,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Male & 45 - 54 years,7,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Male & 55 - 64 years,8.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Male & 55 - 64 years,8.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Male & 65+ years,10.4,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Male & 65+ years,10.4,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Male & < 18 years,1.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Age Group by Sex,Male & < 18 years,1.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Region,NYS Excl NYC,9.2,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Region,NYS Excl NYC,9.2,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Region,New York City,6.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Region,New York City,6.8,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Sex,Female,9.2,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Sex,Female,9.2,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Sex,Male,7.4,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Sex,Male,7.4,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Total,New York State,8.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2020,Total,New York State,8.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group,18 - 24 years,1.7,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group,18 - 24 years,1.7,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group,25 - 34 years,3.4,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group,25 - 34 years,3.4,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group,35 - 44 years,6.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group,35 - 44 years,6.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group,45 - 54 years,8.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group,45 - 54 years,8.1,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group,55 - 64 years,9.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group,55 - 64 years,9.5,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group,65+ years,11.3,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group,65+ years,11.3,Data Source: NYS PMP Data as of April 2024
Percentage of patients* with two or more calendar days of overlapping opioid analgesic and benzodiazepine prescriptions,2021,Age Group,< 18 years,2.1,Data Source: NYS PMP Data as of April 2024
